id;text
1;Google announced a new policy in Berlin last Friday.
2;President Emmanuel Macron met business leaders in Paris on Monday.
3;I read about the changes on the BBC website yesterday.
4;The University of California, Berkeley published a report this week.
5;Amazon plans to expand its operations in São Paulo next year.
6;She moved to Madrid in 2019.
7;Microsoft hired new engineers in Poland.
8;Tesla CEO Elon Musk spoke in Texas on Tuesday.
9;The meeting took place at the Ministry of Health of Brazil.
10;Apple opened a new office in New York last month.
11;I have an interview with Meta tomorrow.
12;The company partnered with organizations across Europe.
13;Barack Obama visited Germany in 2016.
14;The event was streamed from London.
15;Netflix released a statement on Friday.
16;He studied at Stanford in California.
17;The Prime Minister of Canada spoke yesterday.
18;Airbnb is investing more in Asia.
19;The report was prepared by the World Health Organization.
20;We arrived in Rome early this morning.
21;Samsung announced layoffs in South Korea.
22;The article mentioned Harvard University.
23;She works at a startup in Lisbon.
24;Twitter changed its policies last year.
25;The office in Tokyo will close in December.
26;Mark Zuckerberg testified before Congress in 2018.
27;The new regulations were discussed in Brussels.
28;Spotify signed a deal with artists in Sweden.
29;The Ministry of Education of Poland issued new guidelines.
30;I booked my flight to Barcelona for next week.
31;IBM reported record profits this quarter.
32;The conference happened in Vienna on Thursday.
33;He read the news on Reuters.
34;The headquarters are located in San Francisco.
35;Angela Merkel retired from politics in 2021.
36;The hospital was built in Oslo.
37;TikTok faces new restrictions in the United States.
38;She joined Google after graduating last summer.
39;The announcement came from the White House.
40;We met friends near the Eiffel Tower.
41;Oracle opened a research center in Zurich.
42;The Prime Minister met officials on Monday.
43;Slack was acquired by Salesforce in 2020.
44;The message was sent from Berlin yesterday.
45;He works remotely from Buenos Aires.
46;The company was founded in Sweden in 2006.
47;UNICEF launched a campaign in Africa.
48;I saw the post on Instagram this morning.
49;The law was approved by Parliament last week.
50;She attended a workshop in Copenhagen.
51;Intel plans to invest more in Ireland.
52;The speech was delivered in front of the European Commission.
53;He joined Amazon in 2015.
54;The package arrived in Warsaw today.
55;The study was conducted by researchers at Oxford University.
56;We discussed the issue with officials from the Ministry of Finance of Spain.
57;The match was broadcast from Madrid.
58;She read about the incident in The New York Times.
59;Salesforce expanded its presence in Australia.
60;The announcement was made by the President on Tuesday.
